pr_sq_ft,fsid,saleyear,x,y
138.290948275862,240472092938,2005,-75.2122614354236,38.3195698857195
105.421686746988,240472092946,2007,-75.5623691283193,38.0717390749027
53.7865748709122,240472092946,2005,-75.5623691283193,38.0717390749027
105.421686746988,240472092946,2007,-75.5623691283193,38.0717390749027
107.323232323232,240472092947,2015,-75.148174282493,38.3861671229268
134.382566585956,240472092948,2015,-75.1604576419086,38.3640026524561
144.673123486683,240472092948,2018,-75.1604576419086,38.3640026524561
134.382566585956,240472092948,2015,-75.1604576419086,38.3640026524561
51.678391959799,240472092950,2016,-75.1486143035705,38.4294713209341
31.3819095477387,240472092950,2016,-75.1486143035705,38.4294713209341
132.430841671572,240472092952,2008,-75.1492259198371,38.3407409646048
150.306748466258,240472092956,2009,-75.1743028431584,38.3914244820575
150.306748466258,240472092956,2009,-75.1743028431584,38.3914244820575
147.239263803681,240472092956,2017,-75.1743028431584,38.3914244820575
111.906710310966,240472092959,2013,-75.1532708848907,38.3753237372617
111.906710310966,240472092959,2013,-75.1532708848907,38.3753237372617
139.097744360902,240472092961,2017,-75.1489269879968,38.3835957302545
115.506329113924,240472092964,2013,-75.1574228425312,38.3890808760802
115.506329113924,240472092964,2013,-75.1574228425312,38.3890808760802
177.935943060498,240472092965,2005,-75.4961285648866,38.0086603240502
451.957295373666,240472092965,2016,-75.4961285648866,38.0086603240502
143.36917562724,240472092966,2016,-75.1154771711898,38.3231112507719
121.189376443418,240472092969,2014,-75.2175764687604,38.3303016008526
121.189376443418,240472092969,2014,-75.2175764687604,38.3303016008526
89.4919168591224,240472092969,2011,-75.2175764687604,38.3303016008526
89.4919168591224,240472092969,2011,-75.2175764687604,38.3303016008526
163.04347826087,240472092970,2005,-75.1354247166119,38.3864526153496
163.04347826087,240472092970,2005,-75.1354247166119,38.3864526153496
152.638888888889,240472092973,2012,-75.1608525311256,38.3732989540544
152.638888888889,240472092973,2012,-75.1608525311256,38.3732989540544
201.25,240472092973,2017,-75.1608525311256,38.3732989540544
127.197904975683,240472092979,2009,-75.1397208864166,38.3871409529988
127.197904975683,240472092979,2009,-75.1397208864166,38.3871409529988
110,240472092981,2018,-75.2096178894447,38.3285911242058
98.75,240472092981,2006,-75.2096178894447,38.3285911242058
114.035087719298,240472092983,2009,-75.1636079604551,38.3936765587179
146.980224478888,240472092985,2011,-75.145467008843,38.3726031393582
